tipo_doc,co_mun,registro_tombo,exer_orç,co_orgao,co_uni_orcamentaria,data_empenho,nu_empenho,data_ref
983,061,03000000000000055513,201700,03,01,20170403,03040183,202311
983,061,03000000000000055515,201700,03,01,20170403,03040183,202311
983,061,03000000000000055516,201700,03,01,20170403,03040183,202311
983,061,03000000000000055518,201700,03,01,20170403,03040183,202311
983,061,03000000000000055520,201700,03,01,20170403,03040183,202311
983,061,03000000000000055522,201700,03,01,20170403,03040181,202311
983,061,03000000000000055523,201700,03,01,20170403,03040181,202311
983,061,03000000000000055525,201700,03,01,20170403,03040181,202311
983,061,03000000000000055526,201700,03,01,20170403,03040181,202311
983,061,03000000000000055527,201700,03,01,20170403,03040181,202311
983,061,03000000000000055528,201700,03,01,20170403,03040181,202311
983,061,03000000000000055529,201700,03,01,20170403,03040181,202311
983,061,03000000000000055533,201700,03,01,20170403,03040181,202311
983,061,03000000000000055534,201700,03,01,20170403,03040173,202311
983,061,03000000000000055538,201700,03,01,20170403,03040173,202311
983,061,03000000000000055558,201700,03,01,20170403,03040195,202311
983,061,03000000000000055563,201700,03,01,20170403,03040195,202311
983,061,03000000000000055573,201700,03,01,20170403,03040194,202311
983,061,03000000000000055589,201700,03,01,20170403,03040192,202311
983,061,03000000000000055596,201700,03,01,20170403,03040191,202311
983,061,03000000000000055597,201700,03,01,20170403,03040191,202311
983,061,03000000000000055601,201700,03,01,20170403,03040191,202311
983,061,03000000000000055604,201700,03,01,20170403,03040191,202311
983,061,03000000000000055606,201700,03,01,20170403,03040191,202311
983,061,03000000000000055607,201700,03,01,20170403,03040191,202311
983,061,03000000000000055610,201700,03,01,20170403,03040189,202311
983,061,03000000000000055617,201700,03,01,20170403,03040192,202311
983,061,03000000000000055618,201700,03,01,20170403,03040191,202311
983,061,03000000000000055619,201700,03,01,20170403,03040191,202311
983,061,03000000000000055620,201700,03,01,20170403,03040191,202311
983,061,03000000000000035334,201300,03,01,20130328,28030003,202311
983,061,03000000000000035336,201300,03,01,20130328,28030003,202311
983,061,03000000000000035462,201300,03,01,20130402,2040013,202311
983,061,03000000000000035466,201300,03,01,20130402,2040013,202311
983,061,03000000000000035468,201300,03,01,20130402,2040013,202311
983,061,03000000000000035472,201300,03,01,20130402,2040013,202311
983,061,03000000000000035473,201300,03,01,20130402,2040013,202311
983,061,03000000000000035477,201300,03,01,20130402,2040014,202311
983,061,03000000000000036173,201300,03,01,20130903,3090016,202311
983,061,03000000000000036391,201300,03,01,20130821,21080005,202311
983,061,03000000000000037361,201400,03,01,20140205,5020001,202311
983,061,03000000000000044289,201400,03,01,20140205,5020001,202311
983,061,03000000000000044290,201400,03,01,20140205,5020001,202311
983,061,03000000000000044291,201400,03,01,20140205,5020001,202311
983,061,03000000000000044292,201400,03,01,20140205,5020001,202311
983,061,03000000000000044293,201400,03,01,20140205,5020001,202311
983,061,03000000000000044294,201400,03,01,20140205,5020001,202311
983,061,03000000000000044295,201400,03,01,20140205,5020001,202311
983,061,03000000000000044296,201400,03,01,20140205,5020001,202311
983,061,03000000000000044474,201400,03,01,20140205,5020001,202311
983,061,03000000000000044618,201400,03,01,20140205,5020001,202311
983,061,03000000000000044619,201400,03,01,20140205,5020001,202311
